Temperature (degC), Heater (%), error
3.763440860215054329e+01,5.248595764546916342e+01,1.236559139784945671e+01
3.763440860215054329e+01,3.113996623326854873e+01,1.236559139784945671e+01
3.763440860215054329e+01,3.034680221557378843e+01,1.236559139784945671e+01
3.714565004887585076e+01,3.144817923779853786e+01,1.285434995112414924e+01
3.714565004887585076e+01,3.032915880050029145e+01,1.285434995112414924e+01
3.763440860215054329e+01,2.917045597054540806e+01,1.236559139784945671e+01
3.714565004887585076e+01,3.134172360947132319e+01,1.285434995112414924e+01
3.714565004887585076e+01,3.032901193757690450e+01,1.285434995112414924e+01
3.763440860215054329e+01,2.919730817409620727e+01,1.236559139784945671e+01
3.861192570869989993e+01,2.799733685432713770e+01,1.138807429130010007e+01
3.763440860215054329e+01,3.213909249290373538e+01,1.236559139784945671e+01
3.910068426197458535e+01,2.712907211292199250e+01,1.089931573802541465e+01
3.861192570869989993e+01,3.076134151514853698e+01,1.138807429130010007e+01
3.910068426197458535e+01,2.927873352971510101e+01,1.089931573802541465e+01
3.861192570869989993e+01,3.117285905432685311e+01,1.138807429130010007e+01
3.910068426197458535e+01,2.935898927450027429e+01,1.089931573802541465e+01
3.861192570869989993e+01,3.117379471699338822e+01,1.138807429130010007e+01
3.958944281524926367e+01,2.829587002492694481e+01,1.041055718475073633e+01
3.910068426197458535e+01,3.085472523070128403e+01,1.089931573802541465e+01
3.910068426197458535e+01,3.042057002917972497e+01,1.089931573802541465e+01
4.007820136852394910e+01,2.736093138873722452e+01,9.921798631476050900e+00
3.910068426197458535e+01,0.000000000000000000e+00,1.089931573802541465e+01
4.056695992179863453e+01,7.060706374792083295e+01,9.433040078201365475e+00
3.958944281524926367e+01,0.000000000000000000e+00,1.041055718475073633e+01
