Time,Q1,T1
1.160000000000000000e+02,1.785000000000000000e+02,5.669599217986315409e+01
1.170000000000000000e+02,1.785000000000000000e+02,5.718475073313783241e+01
1.180000000000000000e+02,1.785000000000000000e+02,5.718475073313783241e+01
1.190000000000000000e+02,1.785000000000000000e+02,5.767350928641251073e+01
1.200000000000000000e+02,1.785000000000000000e+02,5.816226783968719616e+01
1.210000000000000000e+02,1.785000000000000000e+02,5.718475073313783241e+01
1.220000000000000000e+02,1.785000000000000000e+02,5.767350928641251073e+01
1.230000000000000000e+02,1.785000000000000000e+02,5.913978494623655990e+01
1.240000000000000000e+02,1.785000000000000000e+02,5.913978494623655990e+01
1.250000000000000000e+02,1.785000000000000000e+02,5.962854349951123822e+01
1.260000000000000000e+02,1.785000000000000000e+02,5.865102639296187448e+01
1.270000000000000000e+02,1.785000000000000000e+02,5.767350928641251073e+01
1.280000000000000000e+02,1.785000000000000000e+02,6.060606060606060908e+01
1.290000000000000000e+02,1.785000000000000000e+02,6.060606060606060908e+01
1.300000000000000000e+02,1.785000000000000000e+02,6.060606060606060908e+01
1.310000000000000000e+02,1.785000000000000000e+02,6.060606060606060908e+01
1.320000000000000000e+02,1.785000000000000000e+02,6.109481915933529450e+01
1.330000000000000000e+02,1.785000000000000000e+02,6.158357771260997282e+01
1.340000000000000000e+02,1.785000000000000000e+02,6.109481915933529450e+01
1.350000000000000000e+02,1.785000000000000000e+02,6.207233626588465825e+01
1.360000000000000000e+02,1.785000000000000000e+02,6.207233626588465825e+01
1.370000000000000000e+02,1.785000000000000000e+02,6.353861192570870031e+01
1.380000000000000000e+02,1.785000000000000000e+02,6.353861192570870031e+01
1.390000000000000000e+02,1.785000000000000000e+02,6.402737047898338574e+01
1.400000000000000000e+02,1.785000000000000000e+02,6.402737047898338574e+01
1.410000000000000000e+02,1.785000000000000000e+02,6.402737047898338574e+01
1.420000000000000000e+02,1.785000000000000000e+02,6.451612903225806406e+01
1.430000000000000000e+02,1.785000000000000000e+02,6.451612903225806406e+01
1.440000000000000000e+02,1.785000000000000000e+02,6.451612903225806406e+01
1.450000000000000000e+02,1.785000000000000000e+02,6.402737047898338574e+01
1.460000000000000000e+02,1.785000000000000000e+02,6.353861192570870031e+01
1.470000000000000000e+02,1.785000000000000000e+02,6.549364613880743491e+01
1.480000000000000000e+02,1.785000000000000000e+02,6.451612903225806406e+01
1.490000000000000000e+02,1.785000000000000000e+02,6.842619745845551904e+01
1.500000000000000000e+02,1.785000000000000000e+02,6.598240469208211323e+01
1.510000000000000000e+02,1.785000000000000000e+02,6.500488758553275659e+01
1.520000000000000000e+02,1.785000000000000000e+02,6.500488758553275659e+01
1.530000000000000000e+02,1.785000000000000000e+02,6.647116324535679155e+01
1.540000000000000000e+02,1.785000000000000000e+02,6.500488758553275659e+01
1.550000000000000000e+02,1.785000000000000000e+02,6.647116324535679155e+01
1.560000000000000000e+02,1.785000000000000000e+02,6.695992179863148408e+01
1.570000000000000000e+02,1.785000000000000000e+02,6.744868035190616240e+01
1.580000000000000000e+02,1.785000000000000000e+02,6.744868035190616240e+01
1.590000000000000000e+02,1.785000000000000000e+02,6.744868035190616240e+01
1.600000000000000000e+02,1.785000000000000000e+02,6.695992179863148408e+01
1.610000000000000000e+02,1.785000000000000000e+02,6.842619745845551904e+01
1.620000000000000000e+02,1.785000000000000000e+02,6.793743890518084072e+01
1.630000000000000000e+02,1.785000000000000000e+02,6.842619745845551904e+01
1.640000000000000000e+02,1.785000000000000000e+02,6.793743890518084072e+01
1.650000000000000000e+02,1.785000000000000000e+02,6.842619745845551904e+01
1.660000000000000000e+02,1.785000000000000000e+02,6.842619745845551904e+01
1.670000000000000000e+02,1.785000000000000000e+02,6.842619745845551904e+01
1.680000000000000000e+02,1.785000000000000000e+02,6.842619745845551904e+01
1.690000000000000000e+02,1.785000000000000000e+02,6.842619745845551904e+01
1.700000000000000000e+02,1.785000000000000000e+02,6.891495601173019736e+01
